Flag,Number,Description,Type,Revision,AutoCreateType,,,
Flag,Description,Type,Part,Quantity,UOM,InstructionNote,ConfigurationSortOrder,InstructionSortOrder
Item,Add XA-10063,Raw Good,XA-10063,1,ea,P1,25,25
Item,Add RS-61500,Raw Good,RS-61500,2,ea,"R1,R2",26,26
Item,Add RS-74701,Raw Good,RS-74701,17,ea,"R4,R10,R18,R19,R20,R33,R35,R39,R41,R42,R46,R48,R65,R68,R70,R71,R72",27,27
Item,Add RS-63300,Raw Good,RS-63300,2,ea,"R6,R8",28,28
Item,Add RS-66491,Raw Good,RS-66491,1,ea,R11,29,29
Item,Add RS-60270,Raw Good,RS-60270,2,ea,"R47,R50",30,30
Item,Add RS-71002,Raw Good,RS-71002,7,ea,"R49,R51,R66,R67,R91,R92,R95",31,31
Item,Add RS-61003,Raw Good,RS-61003,2,ea,"R80,R135",32,32
Item,Add RS-60000,Raw Good,RS-60000,1,ea,R105,33,33
Item,Add RS-60499,Raw Good,RS-60499,4,ea,"R106,R107,R108,R109",34,34
Item,Add SM-00023,Raw Good,SM-00023,1,ea,SW1,35,35
Item,Add IM-00095,Raw Good,IM-00095,1,ea,U1,36,36
Item,Add IY-00036,Raw Good,IY-00036,1,ea,U3,37,37
Item,Add IT-00014,Raw Good,IT-00014,4,ea,"U6,U8,U10,U36",38,38
Item,Add IM-00090,Raw Good,IM-00090,1,ea,U12,39,39
Item,Add IE-00105,Raw Good,IE-00105,1,ea,U15,40,40
Item,Add IE-00120,Raw Good,IE-00120,1,ea,U18,41,41
Item,Add IA-04067,Raw Good,IA-04067,1,ea,U19,42,42
Item,Add IM-00084,Raw Good,IM-00084,1,ea,U27,43,43
Item,Add IE-00154,Raw Good,IE-00154,1,ea,U34,44,44
