Flag,Description,Type,Part,Quantity,UOM,InstructionNote,ConfigurationSortOrder,InstructionSortOrder
Item,Add LM-00024,Raw Good,LM-00024,1,ea,,3,4
BOM,AC-00751,GMR5000 [LAN1-FIBER],Manufacture,1,Order Quantity,,,
Item,Create AC-00751,Finished Good,AC-00751,1,ea,,1,1
Item,Add XA-10104,Raw Good,XA-10104,1,ea,P4,1,2
Item,Add CC-00053,Raw Good,CC-00053,4,ea,"C124,C125,C126,C127",2,3
Item,Add RS-61300,Raw Good,RS-61300,1,ea,R50,3,4
BOM,AC-01421,GMR1000 Option: RELAY OUT,Manufacture,1,Order Quantity,,,
Item,Create AC-01421,Finished Good,AC-01421,1,ea,,1,1
Item,Add TR-00006,Raw Good,TR-00006,1,ea,LS1,1,2
Item,Add BA-00002,Raw Good,BA-00002,1,ea,J12,2,3
Item,Add XA-10014,Raw Good,XA-10014,1,ea,J12 - SET TO N.O.,3,4
BOM,AC-00756-1,GMR5000 [HSO-Level1],Manufacture,1,Order Quantity,,,
Item,Create AC-00756-1,Finished Good,AC-00756-1,1,ea,,1,1
Item,PCB,Raw Good,EC-01400,1,ea,X1,1,2
Item,Add PC-00009,Raw Good,PC-00009,1,ea,PS1,2,3
BOM,AC-00757,GMR5000 [HSO-Rb],Manufacture,1,Order Quantity,,,
Item,Create AC-00757,Finished Good,AC-00757,1,ea,,1,1
Item,Add HA-00011,Raw Good,HA-00011,5,ea,TIGHTEN SCREWS PRIOR TO SOLDERING PINS,1,2
Item,Add LO-00043,Raw Good,LO-00043,1,ea,X3,2,3
Item,Add TT-00001,Raw Good,TT-00001,1,ea,,3,4
Item,Add HA-10001,Raw Good,HA-10001,5,ea,,4,5
Item,Add PC-00027,Raw Good,PC-00027,1,ea,PS2,5,6
Item,Add RV-00002,Raw Good,RV-00002,3,ea,"RV16,RV17,RV18",6,7
BOM,AC-01422,GMR1000 Option: RELAY IN,Manufacture,1,Order Quantity,,,
Item,Create AC-01422,Finished Good,AC-01422,1,ea,,1,1
Item,Add RS-60000,Raw Good,RS-60000,2,ea,"S32,S33",1,2
BOM,AC-00756-2,GMR5000 [HSO-Level2],Manufacture,1,Order Quantity,,,
Item,Create AC-00756-2,Finished Good,AC-00756-2,1,ea,,1,1
Item,Add LO-00041,Raw Good,LO-00041,1,ea,X2,1,2
Item,Add PC-00009,Raw Good,PC-00009,1,ea,PS1,2,3
BOM,AC-01419,GMR1000 Option: SYNC IN + PPO,Manufacture,1,Order Quantity,,,
Item,Create AC-01419,Finished Good,AC-01419,1,ea,,1,1
